Parameters,mean_test_recall,mean_test_precision,mean_test_f1,mean_test_roc_auc,mean_test_accuracy
"{'criterion': 'gini', 'max_features': 12, 'n_estimators': 16}",0.614274777,0.660260211,0.636262737,0.707008667,0.647732002
"{'criterion': 'gini', 'max_features': 6, 'n_estimators': 5}",0.613873091,0.601362015,0.607309725,0.633175277,0.599458379
"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 16}",0.610486597,0.656297218,0.632266781,0.696599315,0.643802318
"{'criterion': 'gini', 'max_features': 4, 'n_estimators': 7}",0.610098831,0.60034162,0.604657473,0.632730314,0.596652165
"{'criterion': 'gini', 'max_features': 14, 'n_estimators': 12}",0.609819937,0.672163161,0.639169462,0.710564843,0.654921878
"{'criterion': 'gini', 'max_features': 12, 'n_estimators': 14}",0.60959722,0.666089585,0.636183232,0.707965107,0.65020366
"{'criterion': 'gini', 'max_features': 5, 'n_estimators': 5}",0.609418251,0.593751216,0.601059272,0.626562968,0.591483499
"{'criterion': 'gini', 'max_features': 8, 'n_estimators': 16}",0.608485126,0.654684176,0.630607236,0.697573897,0.641780981
"{'criterion': 'gini', 'max_features': 18, 'n_estimators': 12}",0.607589286,0.668853995,0.636069405,0.705337406,0.652229915
"{'criterion': 'gini', 'max_features': 1, 'n_estimators': 11}",0.607210965,0.590563704,0.598067126,0.625359294,0.587557851
"{'criterion': 'gini', 'max_features': 5, 'n_estimators': 18}",0.60649658,0.650504973,0.627565991,0.688521153,0.637180292
"{'criterion': 'gini', 'max_features': 13, 'n_estimators': 14}",0.606478683,0.653884632,0.628969016,0.700493105,0.641222966
"{'criterion': 'gini', 'max_features': 19, 'n_estimators': 12}",0.606235583,0.673618671,0.637328836,0.716292351,0.656043582
"{'criterion': 'gini', 'max_features': 9, 'n_estimators': 14}",0.606024797,0.658802529,0.630807352,0.695045219,0.644363359
"{'criterion': 'gini', 'max_features': 11, 'n_estimators': 12}",0.605390451,0.657136655,0.630066866,0.700983852,0.642241264
"{'criterion': 'gini', 'max_features': 4, 'n_estimators': 5}",0.604979319,0.591134602,0.597523643,0.618563786,0.588345629
"{'criterion': 'gini', 'max_features': 1, 'n_estimators': 7}",0.604753122,0.577452459,0.590419808,0.599973014,0.576330723
"{'criterion': 'gini', 'max_features': 16, 'n_estimators': 12}",0.602465797,0.669551207,0.633951894,0.708490935,0.651105058
"{'criterion': 'gini', 'max_features': 15, 'n_estimators': 14}",0.602226674,0.660349608,0.629293626,0.70752622,0.64593778
"{'criterion': 'gini', 'max_features': 17, 'n_estimators': 12}",0.601328349,0.664980016,0.630939827,0.707206767,0.648739328
"{'criterion': 'gini', 'max_features': 2, 'n_estimators': 7}",0.600317173,0.588757116,0.593553931,0.61044292,0.584642681
"{'criterion': 'gini', 'max_features': 3, 'n_estimators': 5}",0.600082028,0.589027408,0.593954897,0.615369644,0.586217859
"{'criterion': 'gini', 'max_features': 13, 'n_estimators': 12}",0.598233177,0.654459125,0.624695689,0.694021357,0.639652833
"{'criterion': 'gini', 'max_features': 1, 'n_estimators': 9}",0.597630647,0.578726296,0.587059015,0.607084741,0.575093885
"{'criterion': 'gini', 'max_features': 7, 'n_estimators': 14}",0.597562043,0.646176779,0.620741698,0.683309198,0.633134718
"{'criterion': 'gini', 'max_features': 5, 'n_estimators': 16}",0.596246619,0.637454457,0.615988062,0.675985424,0.624602706
"{'criterion': 'gini', 'max_features': 16, 'n_estimators': 10}",0.595117125,0.661876469,0.626465777,0.705250764,0.643809001
