Parameters,mean_test_recall,mean_test_precision,mean_test_f1,mean_test_roc_auc,mean_test_accuracy
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 16, 'min_samples_split': 140}",0.655308423,0.624761666,0.639162212,0.683505809,0.628879557
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 16, 'min_samples_split': 170}",0.664000855,0.623414213,0.642318401,0.68349601,0.628987377
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 19, 'min_samples_split': 370}",0.656863466,0.632159437,0.64358551,0.683475751,0.635499313
"{'criterion': 'gini', 'max_depth': 10, 'max_features': 17, 'min_samples_split': 90}",0.677378301,0.629333649,0.651609419,0.683404727,0.637073607
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 18, 'min_samples_split': 290}",0.677797387,0.627519305,0.649572216,0.683362841,0.636064515
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 19, 'min_samples_split': 140}",0.672701241,0.626110076,0.647818849,0.683348001,0.632809241
"{'criterion': 'gini', 'max_depth': 10, 'max_features': 18, 'min_samples_split': 90}",0.676020621,0.633027598,0.652754046,0.683347742,0.640438719
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 16, 'min_samples_split': 150}",0.638147272,0.637920439,0.636607872,0.683342698,0.634037882
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 16, 'min_samples_split': 210}",0.657109549,0.637170713,0.645756364,0.683319509,0.636172587
"{'criterion': 'gini', 'max_depth': 15, 'max_features': 18, 'min_samples_split': 250}",0.673333598,0.633638347,0.650543655,0.683280903,0.640439728
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 19, 'min_samples_split': 130}",0.655310412,0.632175239,0.643190679,0.683189317,0.634714183
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 19, 'min_samples_split': 380}",0.666691855,0.630894171,0.645018743,0.683034464,0.631453486
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 13, 'min_samples_split': 160}",0.654431475,0.628087744,0.640560647,0.682979198,0.630790048
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 19, 'min_samples_split': 210}",0.667373429,0.630136373,0.64771205,0.682941852,0.633590714
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 15, 'min_samples_split': 100}",0.666462178,0.631731596,0.648293946,0.682936421,0.636513954
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 15, 'min_samples_split': 170}",0.628993497,0.631472162,0.628421724,0.682921605,0.628991034
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 18, 'min_samples_split': 200}",0.66710945,0.630620083,0.646602634,0.682853327,0.636621899
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 15, 'min_samples_split': 200}",0.647936386,0.632467378,0.638303,0.682840189,0.634268024
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 17, 'min_samples_split': 230}",0.674209056,0.624492482,0.645380939,0.682785664,0.63303333
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 18, 'min_samples_split': 220}",0.668663001,0.631810796,0.648382819,0.682780666,0.637741207
"{'criterion': 'gini', 'max_depth': 15, 'max_features': 19, 'min_samples_split': 420}",0.667793509,0.632598266,0.648153167,0.682751697,0.637637171
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 17, 'min_samples_split': 370}",0.668939906,0.624660862,0.644640802,0.682685636,0.63034641
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 14, 'min_samples_split': 130}",0.660023266,0.635051876,0.645571502,0.682679683,0.635620878
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 18, 'min_samples_split': 40}",0.618303571,0.640816323,0.628539333,0.682623347,0.63426878
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 19, 'min_samples_split': 160}",0.655970609,0.634167404,0.64322997,0.682604768,0.635500574
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 18, 'min_samples_split': 250}",0.638358555,0.628558588,0.63222804,0.682588416,0.628990782
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 17, 'min_samples_split': 240}",0.662209175,0.622588349,0.640544289,0.682554258,0.627976519
